# anc1_x,anc1_y,anc2_x,anc2_y,anc3_x,anc3_y,anc4_x,anc4_y,anc1_RSS,anc2_RSS,anc3_RSS,anc4_RSS,anc1_AoA,anc2_AoA,anc3_AoA,anc4_AoA,anc1_ToA,anc2_ToA,anc3_ToA,anc4_ToA,sensor_x,sensor_y
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.945168528149385345e-01,8.206258184992817339e-01,8.304318244199778709e-01,7.274444031252507159e-01,5.540408819092146331e-01,7.728699679221600061e-01,7.935605043189390972e-01,1.239730985478732644e-01,4.144729835486886671e-01,2.268523247175680269e-01,2.041283416218905022e-01,7.841235772709327645e-02,8.399999999999999689e-01,7.199999999999999734e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.921303373945153048e-01,9.255945060259762602e-01,9.334343769139242797e-01,9.471689462875357846e-01,2.173419345398751035e-01,5.358542263409336870e-02,8.278411424604033286e-02,1.007195188405393405e-01,3.818296149905036074e-01,5.821826211287506325e-01,5.867065485306501849e-01,7.486331691958039158e-01,8.999999999999999667e-02,5.999999999999999778e-02
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.583661228516593633e-01,8.963280824304749039e-01,8.953619503495159337e-01,8.474603974670004147e-01,6.398373298148165578e-01,8.551084604309630022e-01,8.361959554731369648e-01,9.661673893822655401e-01,3.023798105950732951e-01,4.029883440403136396e-01,4.109534944413702484e-01,2.599441164664422210e-01,5.400000000000000355e-01,9.000000000000000222e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.423725206256282849e-01,9.090278922442492915e-01,9.086390506760047003e-01,9.250769584919108501e-01,2.242304416468212103e-01,3.085588888048770503e-02,5.918289920967541307e-02,1.469712881835960050e-01,2.522303492659555002e-01,4.602693014311980968e-01,4.476932118710111319e-01,5.991835567288196218e-01,2.300000000000000100e-01,2.399999999999999911e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.464632860187802921e-01,9.356501322303329982e-01,9.327160082013740139e-01,9.471979579193772203e-01,1.783849320826119689e-01,2.331561649795190622e-02,1.532816415891413014e-02,9.856152151300313913e-02,2.779196359703376973e-01,6.242600428178893823e-01,6.031797583072600055e-01,7.073832891795028832e-01,1.000000000000000021e-02,2.700000000000000178e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,9.355997833296081367e-01,8.260336838725504949e-01,8.324154994928893991e-01,9.058712350223502296e-01,3.912820414362848109e-01,2.950373154760617123e-01,2.644977634570886971e-01,2.539476960214947510e-01,6.062481997020008340e-01,2.304513488823177192e-01,2.367750616288433474e-01,5.245151773322155320e-01,9.300000000000000488e-01,5.999999999999999778e-02
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,6.443765320004775088e-01,9.065303019716930422e-01,8.986158812058517853e-01,9.005921171517878854e-01,7.938611301836551171e-01,9.152000257342527423e-01,9.286357518510529596e-01,9.980589288209139598e-01,3.793328843034098063e-02,5.074422195702987803e-01,4.917897889157232805e-01,4.575738091673615671e-01,2.200000000000000011e-01,6.600000000000000311e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.764461921875994488e-01,8.320439986115146791e-01,8.241624706045079796e-01,7.968447427143826589e-01,5.121363321192121676e-01,7.939388170520160770e-01,8.380467671078342118e-01,1.381893430153209312e-01,3.546391355572369730e-01,2.041963400769806480e-01,1.936095667411268928e-01,1.525579191442087701e-01,7.500000000000000000e-01,6.500000000000000222e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,8.657520043698174739e-01,8.854379885847876164e-01,8.865660496277121272e-01,8.243506984689907835e-01,5.988055897575580433e-01,8.326667669790737136e-01,8.138932993888565726e-01,9.830337093377038427e-01,2.954228802690218036e-01,3.950297315124138842e-01,3.818043914125284766e-01,2.085446070014851105e-01,5.999999999999999778e-01,8.699999999999999956e-01
2.300000000000000100e-01,6.099999999999999867e-01,9.200000000000000400e-01,3.900000000000000133e-01,8.900000000000000133e-01,3.900000000000000133e-01,9.000000000000000222e-01,8.199999999999999512e-01,7.782828638468284321e-01,9.125350120248890695e-01,9.224466399239557024e-01,9.110106590946003280e-01,7.642749789136014105e-01,9.488595725808042225e-01,9.736955012551934407e-01,1.105775696919724521e-02,1.390585381291394862e-01,5.781175640221333234e-01,5.586775720634231668e-01,4.842237442196156705e-01,1.900000000000000022e-01,8.100000000000000533e-01
